blockNumber,transactionHash,direction,transactionTo,inputSelector
48261553,0x06dace0126c0112478b7e0d71a10ff9fdbcb07620483b00a8608216f26b938b6,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48261612,0xbff235bf345464791ee3aaf45a35fc2cc91e97c696357bd5aadfcecbf7ad5e46,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48261652,0x4996f367e664c304e01fd35dc71688d326f02675c525f4a07df28857de0387b8,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48262050,0x6a8465f24bb5fd328ed3a30f2bef77a61c4697a7b32109e08d6909a32025b72d,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48269082,0xdcdd6389313bceeb57732264b5c7b506f99141e38decec59ebbde3b1453c5804,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48269101,0xfb963e16fcbcfedc1682f42530248c67117202244c1d416e665a82584833148d,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48269125,0xeb779df01c46ec0e49ab83a939a5388e05561312659d70b5780bfcea4c1b6b1d,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48269144,0x146c5ae453e4927ca90e4f707a50d26e631edfd5efe689982f8f3b8a0c99afd7,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48269166,0x6abd5010ef3601b2ac969cbbc095f06894e6038d00177515fcfb273a25338c18,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48290376,0xf497c969ee5d721a4fed698d66c9ca1bf0a4ebd92f80e41566dfd699cbed65a1,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48563681,0xeadffc5ad648974fc029e634cb4c9b2a9e765794b4cc845bc46a2d6324130a3f,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48563748,0xd94c904480b5d1d6c10a0d0184396b775b3f441dfc898b29d980575f5dbf5d8e,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48563764,0x24c936c9117a9a282726c012f3b3721bce46f2965d35501cd989f75a940b1dcf,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48627328,0xcde8a727c29bbf05a9b16d34bf8ecb2c98c6f2678e2cfd6ec74c6eb6049c37dd,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48734861,0x7b00b4ec531f6e78d6342eac8a13f8072f2a876a09e532aaffaf57863f067468,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48833044,0xa0604290188f96f9ddc9dd364c01ce7bf854e503c6b8ab986a15aa262b7dce4a,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48833058,0x0e05acbf9b88b717b5ae2610e32febf7316f6acc5e5124fdc556088818f606b9,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
48833090,0x4d52fa25182ba5ca64b69c2f52e90b64cac2e8c68c51c9fcbea73dc377a26a58,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
49137956,0xf8301976a8f8c159dc96a26427bc77b574be0d46ac516b8537f8cdbb0dbe756a,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
49137968,0x3dea54debd9ad9807729425a2f64bd44b11c942225d8e59cd33e1c7cb937ea6b,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
49137979,0x6a222d0ab50369ab5b95ae38f4f04f919f014258729057b160d3db5025afce4d,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
49137994,0x6b5a2388e27e46ea1808a5b712d99b3171a7c5e89ea9163189f5d1e6c9f060f6,sell-sentinel-for-weth,0x5FF137D4b0FDCD49DcA30c7CF57E578a026d2789,0x1fad948c
